t,name,C,q,a,F,H,work_lawfulness,work_record_intensity,work_fidelity,kingdom_lawfulness,kingdom_record_intensity,kingdom_fidelity,kingdom_overlap,ai_consolidation,ai_governance,ai_fidelity,ai_opacity,digital_work_record,digital_kingdom_record,ai_consolidated_record,P_ref,P,K,O,work_benefit,work_cost,kingdom_benefit,kingdom_cost,kingdom_presence_lift,grace_coherence,grace_relief,work_to_kingdom_bleed,kingdom_to_work_bleed,ai_audit,ai_scale,ai_false,ai_context_loss,ai_net,future_tension,benefit,cost,net,dF,dq,dC,dH
10,Oppressive work recording with weak Kingdom channel,0.06247929789483625,0.36196948235794346,0.82,0.26849765078808274,1.0160329399602956,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,7.535645693372416,2.696086570295465,6.040814728469518,0.24615384615384617,0.23190236948227402,0.3039463894354322,0.06833592066050559,0.001102630818858299,0.07341379396685285,0.0028929765632563667,0.007429708444549138,0.001177103302465939,1.8477290795806617e-05,4.444766456080961e-05,0.04109213559303612,2.335372952092423e-05,2.6391670810946587e-05,0.0330816309643773,0.017073846812264874,0.007862827444117787,-0.05799191354994901,0.002055848625152632,0.0041062798932418685,0.1820097918503507,-0.17790351195710885,-0.07699651293874055,0.013390654882077038,-0.06545097536825031,0.0673081452120163
11,Oppressive work recording with weak Kingdom channel,0.0,0.3762514976903124,0.82,0.19002240206683407,1.0839013991495623,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,8.180289236438693,2.9267257045925104,6.557581621184823,0.24615384615384617,0.2354285809453584,0.2798396693590479,0.03268823299775879,0.0009326485617515541,0.07590223121908793,0.002446993485721485,0.007591957879395868,0.0005184050976043875,8.748279199457302e-06,1.976945382820707e-05,0.044991446289798495,1.0285157136471048e-05,1.1623089200437888e-05,0.033725564533684055,0.01752339881953071,0.008163677957827298,-0.05940101822184162,0.0022520184601493793,0.003428577419004616,0.19015029515947374,-0.1867217177404691,-0.07847524872124868,0.014282015332368963,-0.0703974982606319,0.06786845918926661
12,Oppressive work recording with weak Kingdom channel,0.0,0.3914007798053128,0.82,0.11007671944896572,1.1523246023988183,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,8.818486344074307,3.1550584475465855,7.0691808449729745,0.24615384615384617,0.24026125679242968,0.2573463229874351,0.0,0.0007782152807140039,0.07834511390181806,0.0020418063142881495,0.007748481355354983,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03437664630192258,0.017942863971963048,0.008439552,-0.060759062273885625,0.00244768009829474,0.0028200215950021533,0.1980875376293534,-0.19526751603435125,-0.07994568261786836,0.015149282115000383,-0.07514662401965896,0.06842320324925605
13,Oppressive work recording with weak Kingdom channel,0.0,0.40658081022838727,0.82,0.02944307292112261,1.2209628816435203,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,9.450301480633565,3.3811078630711195,7.575664076523245,0.24615384615384617,0.24666120299817862,0.2574589695193771,0.0,0.0007785559238265965,0.07865241439123076,0.0020427000608842995,0.007761253492927509,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03475354617481727,0.01794076329321515,0.008439552,-0.061133861468032416,0.002474306157293251,0.002821255984710896,0.19880903550948392,-0.19598777952477303,-0.0806336465278431,0.015180030423074456,-0.07515194923145867,0.06863827924470191
14,Oppressive work recording with weak Kingdom channel,0.0,0.42178757615068413,0.82,0.0,1.289805499253579,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,10.07579846582723,3.6048967844404083,8.077082475758013,0.24615384615384617,0.2549796544992663,0.25873301809115334,0.0,0.0007824086467076479,0.0788948284464667,0.002052808464176658,0.007768542201103538,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.035115485790466895,0.017917004312690988,0.008439552,-0.06147204210315789,0.0024976747148252056,0.002835217110884306,0.19942028746555332,-0.19658507035466902,-0.08128056646728338,0.015206765922296852,-0.07515662294296505,0.06884261761005867
15,Oppressive work recording with weak Kingdom channel,0.0,0.4370456366860327,0.82,0.0,1.3589202215210834,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,10.695040481168958,3.826447816596004,8.573486691000433,0.24615384615384617,0.25187237851381594,0.2530378303838686,0.0,0.0007651863990808189,0.07953153540514482,0.0020076223892920445,0.007808944453969974,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03557292293848164,0.018023210509861446,0.008439552,-0.06203568544834309,0.0025410607982636235,0.0027728087883728634,0.2007044261057215,-0.19793161731734865,-0.08218443298583081,0.015258060535348533,-0.07516530015965274,0.06911472226750445
16,Oppressive work recording with weak Kingdom channel,0.0,0.45237011092186846,0.82,0.0,1.428350155258728,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,11.308090076357269,4.045783338430044,9.06492686409043,0.24615384615384617,0.2418967529158554,0.24314441864822944,0.0,0.000735268721992246,0.08040959259531995,0.0019291272691085446,0.007869456610836977,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03609127501645429,0.01820770691129521,0.008439552,-0.0627385339277495,0.00259709622941749,0.002664395991100791,0.2024018793633239,-0.1997374833722231,-0.08325030099347205,0.015324474235835765,-0.07517650724588351,0.06942993373764465
17,Oppressive work recording with weak Kingdom channel,0.0,0.4677602325599799,0.82,0.0,1.4980949796605965,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,11.915009175593697,4.262925505045744,9.551452635449525,0.24615384615384617,0.23250122194662515,0.23358789863749024,0.0,0.0007063698054797707,0.08127345246357792,0.0018533050748217388,0.007928574362153851,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03660950103407465,0.018385920817612252,0.008439552,-0.06343497385168691,0.002652873884831092,0.0025596748803015093,0.20407707456224977,-0.20151739968194826,-0.0843131012522268,0.015390121638111435,-0.07518766277696623,0.06974482440186844
18,Oppressive work recording with weak Kingdom channel,0.0,0.4832153190325469,0.82,0.0,1.5681545467779217,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,12.51585908383776,4.477896249995286,10.03311314909503,0.24615384615384617,0.2236401572868298,0.22434065717026286,0.0,0.000678406147282875,0.08212451442809277,0.0017799367212414394,0.007986422000886895,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.0371278404961373,0.018558367170749126,0.008439552,-0.06412575966688643,0.0027084468692565363,0.0024583428685243146,0.2057323429651226,-0.2032740000965983,-0.08537355012204625,0.015455086472566998,-0.07519877737385132,0.0700595671173252
19,Oppressive work recording with weak Kingdom channel,0.0,0.49873476334085104,0.82,0.0,1.6385288654876426,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,13.110700492999383,4.690717287495334,10.50995705760408,0.24615384615384617,0.21527247047977544,0.21537782661122165,0.0,0.0006513025476723344,0.08296404074419371,0.0017088249065595619,0.008043111545684664,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03764651075686643,0.018725509712572877,0.008439552,-0.0648115724694393,0.0027638633312878336,0.002360127454231896,0.2073697880906055,-0.2050096606363736,-0.08643229637881944,0.015519444308304164,-0.07520986066625758,0.07037431870972106
20,Oppressive work recording with weak Kingdom channel,0.0,0.5143180268799091,0.82,0.0,1.709218087425322,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,13.69959348806939,4.90141011462038,10.98203252702804,0.24615384615384617,0.20736106834522827,0.20667695505425948,0.0,0.0006249911120840808,0.08379317304068953,0.0016397914955568994,0.008098744217879572,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03816570974434478,0.018887767135440884,0.008439552,-0.06549302887978567,0.002819167065506942,0.00226478260764098,0.2089913132038617,-0.2067265305962207,-0.08748992945586634,0.015583263539058076,-0.0752209214131014,0.07068922193767935
21,Oppressive work recording with weak Kingdom channel,0.0,0.5299646331107762,0.82,0.0,1.7802224946050167,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,14.282597553188696,5.109996013474176,11.449387241757758,0.24615384615384617,0.19987238447877892,0.19821772262376616,0.0,0.000599410393214269,0.08461294653981552,0.0015726752687147709,0.008153411711786657,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.038685618299383176,0.019045518372731017,0.008439552,-0.06617068867211419,0.0028743980300031096,0.00217208566192904,0.21059864495371947,-0.20842655929179044,-0.08854698652431217,0.015646606230867152,-0.07523196760600064,0.07100440717969471
22,Oppressive work recording with weak Kingdom channel,0.0,0.5456741619642687,0.82,0.0,1.851542488493128,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,14.85977157765681,5.316496053339434,11.912068409340181,0.24615384615384617,0.19277597476643682,0.1899816965732686,0.0,0.0005745046504375644,0.08542430232911498,0.0015073299791480393,0.008207197291137397,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03920640219067951,0.019199107165862688,0.008439552,-0.0668450613565422,0.002929592792771432,0.0020818346295856036,0.212193353769566,-0.21011151913998038,-0.08960395859791458,0.015709528853492426,-0.0752430065585543,0.0713199938881112
23,Oppressive work recording with weak Kingdom channel,0.0,0.5614462448779594,0.82,0.0,1.9231785803397687,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,15.431173861880243,5.520931092806039,12.37012276524678,0.24615384615384617,0.18604416697723597,0.18195211915500292,0.0,0.000550223208324729,0.08622809798835848,0.0014436226695453257,0.00826017673867667,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.03972821385708685,0.019348846020192104,0.008439552,-0.06751661187727896,0.002984784918097424,0.0019938458778700546,0.2137768715224115,-0.21178302564454146,-0.09066129581492258,0.01577208291369073,-0.0752540449836195,0.07163609184664085
24,Oppressive work recording with weak Kingdom channel,0.0,0.5772805603832647,0.82,0.0,1.9951313826013402,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,15.99686212326144,5.723321781877979,12.823596577594312,0.24615384615384617,0.17965175621593837,0.17411372327716418,0.0,0.0005265198991901446,0.08702511682206161,0.001381432209578883,0.008312419181269322,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04025119391893743,0.019495019642711525,0.008439552,-0.06818576556164896,0.003040005302102732,0.0019079521087690277,0.21535050686708263,-0.21344255475831359,-0.0917194120229827,0.015834315505305376,-0.07526508906042055,0.07195280226157146
25,Oppressive work recording with weak Kingdom channel,0.0,0.5931768301718603,0.82,0.0,2.0674016013130014,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,16.556893502028824,5.923688564059199,13.27253565181837,0.24615384615384617,0.1735757394105345,0.16645257181046186,0.0,0.0005033525771548367,0.08781607590562153,0.0013206480209499495,0.008363987809071504,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.040775472493194236,0.019637887938726523,0.008439552,-0.06885291243192077,0.0030952824650641447,0.0018240005981047863,0.21691545861167794,-0.21509145801357316,-0.09277868877162054,0.01589626978859558,-0.07527614449301284,0.07227021871166127
26,Oppressive work recording with weak Kingdom channel,0.0,0.6091348155810179,0.82,0.0,2.139990029290536,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,17.111324567008534,6.1220516784186065,13.716985335300185,0.24615384615384617,0.16779508314255123,0.15895591709311574,0.0,0.0004806826932895821,0.08860163311848343,0.0012611689626901479,0.008414940504237243,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04130117034137415,0.019777688631864503,0.008439552,-0.06951841097323866,0.003150642806847472,0.00174185165597973,0.21847282740280677,-0.21673097574682704,-0.0938394787993587,0.015957985409157594,-0.07528721656136951,0.07258842797753455
27,Oppressive work recording with weak Kingdom channel,0.0,0.6251543144461189,0.82,0.0,2.212897540058511,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,17.660211321338448,6.318431161634421,14.156990521947183,0.24615384615384617,0.16229052005461814,0.15161207774538732,0.0,0.00045847492310205134,0.08938239330946934,0.0012029023537981228,0.008465330392109727,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.041828399874430176,0.019914639561287847,0.008439552,-0.07018259143571802,0.003206110830760239,0.0016613772769001741,0.22002362596805733,-0.21836224869115717,-0.09490210908827158,0.016019498865101008,-0.07529831016615206,0.07290751076797533
28,Oppressive work recording with weak Kingdom channel,0.0,0.6412351582758758,0.82,0.0,2.2861250824162287,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,18.203609208125062,6.512846850018077,14.592595656727712,0.24615384615384617,0.15704436983034256,0.14441033036606704,0.0,0.0004366968390269868,0.09015891371619053,0.0011457631139508053,0.008515206325777404,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04235726603488265,0.020048940701382245,0.008439552,-0.07084575873626489,0.0032617093402761274,0.0015824599529777922,0.22156878811850894,-0.21998632816553115,-0.09596688354708277,0.01608084382975695,-0.07530942986805524,0.07322754235771746
29,Oppressive work recording with weak Kingdom channel,0.0,0.6573772097119284,0.82,0.0,2.3596736755652525,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,18.74157311604381,6.7053183815178965,15.023844740160435,0.24615384615384617,0.15204038136857037,0.13734081406361345,0.0,0.00041531862172836716,0.09093170874133884,0.0010896730060458344,0.008564613313169545,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04288786707328123,0.020180775942099206,0.008439552,-0.07150819501538044,0.0033174596123832375,0.0015049916277742016,0.22310917668227206,-0.22160418505449786,-0.09703408537428077,0.016142051436052556,-0.07532057992247666,0.07354859314902386
30,Oppressive work recording with weak Kingdom channel,0.0,0.6735803602396693,0.82,0.0,2.4335444047326957,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,19.27415738488337,6.895865197702718,15.450781332758831,0.24615384615384617,0.14726359329307845,0.1303944460893509,0.0,0.00039431280497419723,0.09170125417282725,0.0010345599668285974,0.008613592894454486,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.043420295233429336,0.0203103146622628,0.008439552,-0.07217016189569214,0.003373381550728736,0.0014288727718027947,0.22464559051370261,-0.22321671774189983,-0.09810397914476887,0.016203150527740882,-0.07533176431014575,0.07387072916744342
31,Oppressive work recording with weak Kingdom channel,0.0,0.6898445281215599,0.82,0.0,2.507738417233249,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,19.801415811034534,7.084506545725691,15.873448559431242,0.24615384615384617,0.14270021036990563,0.12356284710157772,0.0,0.0003736540496351711,0.09246799092160651,0.000980357513931686,0.008662183476331612,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04395463735860408,0.020437713123275223,0.008439552,-0.0728319024818793,0.0034294938212514363,0.001354011563566857,0.22617877070106884,-0.224824759137502,-0.09917681265695762,0.016264167881890616,-0.0753429867642503,0.07419401250055349
32,Oppressive work recording with weak Kingdom channel,0.0,0.7061696565279458,0.82,0.0,2.5822569189204296,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,20.323401652924186,7.271261480268434,16.29188911383693,0.24615384615384617,0.13833749376406426,0.11683827480742326,0.0,0.000353318943017648,0.09323232834002934,0.0009270042193840809,0.008710420628830758,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04449097542917487,0.020563115706590685,0.008439552,-0.07349364313576556,0.003485813972593141,0.0012803231624017289,0.22770940607721882,-0.2264290829148171,-0.10025281857170618,0.01632512840638585,-0.07535425079451864,0.07451850168718058
33,Oppressive work recording with weak Kingdom channel,0.0,0.7225557118435848,0.82,0.0,2.6571011709839216,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,20.840167636394945,7.4561488654657495,16.706145262698563,0.24615384615384617,0.1341636633682262,0.11021356491168971,0.0,0.00033328582029294973,0.09399464717446906,0.0008744432410945392,0.008758337349415026,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04502938704049494,0.02068665601492564,0.008439552,-0.07415559505542058,0.0035423585432445884,0.001207729061387489,0.22923813812254926,-0.22803040906116176,-0.10133221586991914,0.016386055315638928,-0.07536555970864893,0.07484425206349206
34,Oppressive work recording with weak Kingdom channel,0.0,0.7390026821308452,0.82,0.0,2.7322724870553516,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,21.351765960030995,7.639187376811092,17.116258850071578,0.24615384615384617,0.13016781068858818,0.10368207845504634,0.0,0.0003135346052480602,0.09475530219820735,0.0008226219050286143,0.008805964298496737,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.045569945828658774,0.020808457854317723,0.008439552,-0.0748179556829765,0.0035991431571008024,0.0011361565102766744,0.2307655653367814,-0.2296294088265047,-0.10241521115174805,0.016446970287260436,-0.07537691663142017,0.0751713160714302
35,Oppressive work recording with weak Kingdom channel,0.0,0.7555105757328887,0.82,0.0,2.807772230589536,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,21.858248300430684,7.820395503042981,17.52227130157086,0.24615384615384617,0.12633982098591348,0.09723765475292898,0.0,0.00029404666797285727,0.09551462456412754,0.0007714913318221188,0.008853330009898032,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.0461127218506402,0.02092863611174049,0.008439552,-0.07548090996238069,0.0036561826088641228,0.001065537999794976,0.2322922471452704,-0.2312267091454754,-0.10350199979710024,0.016507893602043563,-0.07538832452177284,0.07549974353418423
36,Oppressive work recording with weak Kingdom channel,0.0,0.7720794200021824,0.82,0.0,2.883601812492278,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,22.359665817426375,7.999791548012551,17.92422362855515,0.24615384615384617,0.1226703035495629,0.09087456925548407,0.0,0.00027480469742858387,0.09627292391127897,0.0007210061024385512,0.00890046107929935,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04665778192441708,0.02104729754094847,0.008439552,-0.07614463146536556,0.00371349094053352,0.000995810799867135,0.2338187073964774,-0.23282289659661026,-0.10459276700441839,0.016568844269293677,-0.07539978618810672,0.07582958190274208
37,Oppressive work recording with weak Kingdom channel,0.0,0.7887092601414397,0.82,0.0,2.959762688969287,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,22.85606915925211,8.177393632532425,18.322156432269598,0.24615384615384617,0.1191505291347423,0.08458749574126437,0.0,0.0002557925871215835,0.09703049025474013,0.0006711239582108509,0.008947382333305085,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04720518993391894,0.021164541467504624,0.008439552,-0.07680928340142357,0.0037710815100496778,0.0009269165453324344,0.23534543749951845,-0.234418520954186,-0.10568768872237369,0.01662984013925728,-0.07541130430200994,0.07616087647700916
38,Oppressive work recording with weak Kingdom channel,0.0,0.8054001581456091,0.82,0.0,3.036256359573799,0.12,0.9,0.8,0.88,0.28,0.92,0.25,0.72,0.24,0.82,0.74,23.34750846765959,8.3532196962071,18.7161099079469,0.24615384615384617,0.11577237372275417,0.07837147233589889,0.0,0.0002369953323437583,0.09778759568426891,0.0006218055312308088,0.008994116981403932,0.0,0.0,0.0,0.04878720000000001,0.0,0.0,0.04775500710298037,0.021280460422478137,0.008439552,-0.0774750195254585,0.003828967053021683,0.0008588008635745672,0.23687289924415303,-0.23601409838057846,-0.10678693248714502,0.01669089800416934,-0.07542288141060435,0.07649367060451188
