t,name,C,q,a,F,H,lawfulness,record_intensity,fidelity,digital_record,P_ref,P,K,O,benefit,cost,net,dF,dq,dC,dH
17,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6057583129505038,0.01802155354227491,0.95,0.45,0.94,7.000067890661293,0.3287310979618671,0.34682711935383104,0.7382572097469688,0.9216,0.025110223827057736,0.006979760922426168,0.018130462904631568,0.0004685014753575751,0.0,0.005415276736269056,-0.0035500298960522898
18,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.606231204027338,0.014468369208895285,0.95,0.45,0.94,7.35306721175468,0.3287310979618671,0.34797399469715934,0.7387805289502101,0.9216,0.025121460353409356,0.0069771422331331495,0.018144318120276205,0.0004728910768343631,0.0,0.005419152908856889,-0.0035531843333796273
19,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.606708517418315,0.0109120069303471,0.95,0.45,0.94,7.702536539637133,0.3287310979618671,0.34912941690976157,0.7393077480897825,0.9216,0.025132780617825784,0.006974504028558729,0.018158276589267056,0.0004773133909770965,0.0,0.0054230579678800125,-0.0035563622785481845
20,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.607190286239201,0.007352442909115133,0.95,0.45,0.94,8.04851117424076,0.3287310979618671,0.3502934913099371,0.7398389152224245,0.9216,0.02514418565216444,0.006971846068226989,0.01817233958393745,0.0004817688208856978,0.0,0.005426992269289845,-0.0035595640212319674
21,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.607676544015816,0.0037896530530121017,0.95,0.45,0.94,8.391026062498351,0.3287310979618671,0.35146632503315245,0.740374079234048,0.9216,0.025155676506086487,0.006969168107512825,0.018186508398573664,0.00048625777661519525,0.0,0.005430956175179407,-0.003562789856103031
22,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6081673246911463,0.00022361297006954963,0.95,0.45,0.94,8.730115801873367,0.3287310979618671,0.3526480270724244,0.740913289858165,0.9216,0.02516725424745244,0.006966469897549743,0.018200784349902698,0.0004907806753302879,0.0,0.0054349500539198105,-0.003566040082942552
23,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6086626626326104,0.0,0.95,0.45,0.94,9.065814643854633,0.3287310979618671,0.35383870831980113,0.7414565976948155,0.9216,0.025178919962728613,0.006963751185135143,0.01821516877759347,0.0004953379414641136,0.0,0.005438974280300452,-0.0035693150067549226
24,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.609158046198428,0.0,0.95,0.45,0.94,9.398156497416087,0.3287310979618671,0.3538506286379597,0.7414620369358258,0.9216,0.0251790367522035,0.006963723967173129,0.01821531278503037,0.0004953835658177075,0.0,0.00543901456821034,-0.0035693477931399227
25,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6096531726239987,0.0,0.95,0.45,0.94,9.727174932441926,0.3287310979618671,0.3537834453615626,0.7414313812077384,0.9216,0.025178378523164034,0.006963877368436478,0.018214501154727558,0.0004951264255705107,0.0,0.005438787504322494,-0.003569163008074944
26,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6101480421403451,0.0,0.95,0.45,0.94,10.052903183117508,0.3287310979618671,0.3537163224447837,0.7414007530217439,0.9216,0.025177720885498727,0.006964030631879194,0.018213690253619533,0.0004948695163463885,0.0,0.005438560644436153,-0.003568978389026815
27,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6106426549781632,0.0,0.95,0.45,0.94,10.375374151286332,0.3287310979618671,0.35364925980213424,0.7413701523388339,0.9216,0.02517706383837,0.0069641837576964755,0.018212880080673524,0.0004946128378181393,0.0,0.005438333988262388,-0.0035687939357604043
28,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6111370113678223,0.0,0.95,0.45,0.94,10.694620409773469,0.3287310979618671,0.35358225734829424,0.7413395791200766,0.9216,0.025176407380941936,0.006964336746083137,0.018212070634858798,0.0004943563896592036,0.0,0.005438107535512833,-0.00356860964804104
29,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.611631111539366,0.0,0.95,0.45,0.94,11.010674205675734,0.3287310979618671,0.3535153149981114,0.7413090333266175,0.9216,0.025175751512380242,0.006964489597233607,0.018211261915146635,0.0004941001715436676,0.0,0.005437881285899697,-0.0035684255256345165
30,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6121249557225124,0.0,0.95,0.45,0.94,11.323567463618977,0.3287310979618671,0.35344843266660136,0.7412785149196778,0.9216,0.02517509623185229,0.006964642311341933,0.018210453920510357,0.0004938441831462583,0.0,0.005437655239135751,-0.0035682415683070865
31,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6126185441466547,0.0,0.95,0.45,0.94,11.633331788982787,0.3287310979618671,0.3533816102689468,0.7412480238605555,0.9216,0.02517444153852708,0.0069647948886017805,0.018209646649925297,0.0004935884241423403,0.0,0.00543742939493433,-0.003568057775825462
32,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6131118770408626,0.0,0.95,0.45,0.94,11.93999847109296,0.3287310979618671,0.35331484772049737,0.7412175601106248,0.9216,0.02517378743157525,0.006964947329206434,0.01820884010236882,0.0004933328942079211,0.0,0.005437203753009339,-0.003567874147956817
33,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6136049546338822,0.0,0.95,0.45,0.94,12.24359848638203,0.3287310979618671,0.3532481449367689,0.7411871236313354,0.9216,0.025173133910169065,0.006965099633348798,0.018208034276820266,0.0004930775930196421,0.0,0.0054369783130752405,-0.003567690684468781
34,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.614097777154137,0.0,0.95,0.45,0.94,12.54416250151821,0.3287310979618671,0.3531815018334433,0.7411567143842129,0.9216,0.025172480973482417,0.006965251801221399,0.018207229172261016,0.000492822520254779,0.0,0.005436753074847056,-0.0035675073851294376
35,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.614590344829728,0.0,0.95,0.45,0.94,12.841720876503027,0.3287310979618671,0.35311491832636793,0.7411263323308587,0.9216,0.02517182862069082,0.0069654038330163835,0.018206424787674435,0.0004925676755912432,0.0,0.005436528038040372,-0.003567324249707332
36,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6150826578884356,0.0,0.95,0.45,0.94,13.136303667737996,0.3287310979618671,0.35304839433155527,0.7410959774329491,0.9216,0.0251711768509714,0.006965555728925523,0.01820562112204588,0.0004923130587075775,0.0,0.005436303202371329,-0.0035671412779714573
37,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6155747165577186,0.0,0.95,0.45,0.94,13.427940631060617,0.3287310979618671,0.35298192976518267,0.7410656496522358,0.9216,0.025170525663502908,0.0069657074891402125,0.018204818174362696,0.0004920586692829544,0.0,0.005436078567556626,-0.0035669584696912623
38,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6160665210647158,0.0,0.95,0.45,0.94,13.71666122475001,0.3287310979618671,0.3529155245435915,0.7410353489505455,0.9216,0.0251698750574657,0.00696585911385147,0.01820401594361423,0.0004918045069971761,0.0,0.005435854133313517,-0.003566775824636649
39,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6165580716362464,0.0,0.95,0.45,0.94,14.002494612502511,0.3287310979618671,0.3528491785832873,0.7410050752897795,0.9216,0.025169225032041737,0.006966010603249944,0.018203214428791793,0.0004915505715306714,0.0,0.005435629899359809,-0.003566593342577967
40,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.617049368498811,0.0,0.95,0.45,0.94,14.285469666377486,0.3287310979618671,0.35278289180093875,0.740974828631914,0.9216,0.025168575586414575,0.0069661619575259025,0.01820241362888867,0.0004912968625644955,0.0,0.005435405865413862,-0.003566411023286018
41,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6175404118785912,0.0,0.95,0.45,0.94,14.56561496971371,0.3287310979618671,0.352716664113378,0.7409446089389994,0.9216,0.02516792671976938,0.0069663131768692476,0.018201613542900133,0.0004910433797803273,0.0,0.005435182031194588,-0.0035662288665320517
42,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6180312020014518,0.0,0.95,0.45,0.94,14.842958820016573,0.3287310979618671,0.35265049543759935,0.74091441617316,0.9216,0.0251672784312929,0.006966464261469508,0.01820081416982339,0.0004907901228604665,0.0,0.005434958396421446,-0.0035660468720877633
43,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6185217390929396,0.0,0.95,0.45,0.94,15.117529231816407,0.3287310979618671,0.35258438569075967,0.7408842502965948,0.9216,0.025166630720173482,0.00696661521151584,0.018200015508657644,0.0004905370914878378,0.0,0.005434734960814448,-0.003565865039725298
44,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6190120233782856,0.0,0.95,0.45,0.94,15.389353939498243,0.3287310979618671,0.35251833479017763,0.740854111271576,0.9216,0.02516598358560105,0.006966766027197035,0.018199217558404014,0.0004902842853459803,0.0,0.005434511724094148,-0.0035656833692172406
45,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6195020550824046,0.0,0.95,0.45,0.94,15.65846040010326,0.3287310979618671,0.3524523426533332,0.7408239990604499,0.9216,0.025165337026767112,0.006966916708701509,0.0181984203180656,0.0004900317041190549,0.0,0.005434288685981648,-0.0035655018603366257
46,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6199918344298965,0.0,0.95,0.45,0.94,15.924875796102228,0.3287310979618671,0.3523864091978675,0.7407939136256361,0.9216,0.02516469104286476,0.006967067256217318,0.01819762378664744,0.0004897793474918356,0.0,0.005434065846198593,-0.003565320512856926
47,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6204813616450462,0.0,0.95,0.45,0.94,16.188627038141206,0.3287310979618671,0.3523205343415821,0.7407638549296275,0.9216,0.025164045633088657,0.006967217669932145,0.01819682796315651,0.0004895272151497156,0.0,0.005433843204467174,-0.0035651393265520603
48,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6209706369518249,0.0,0.95,0.45,0.94,16.449740767759792,0.3287310979618671,0.35225471800243896,0.74073382293499,0.9216,0.025163400796635024,0.006967367950033311,0.018196032846601713,0.000489275306778697,0.0,0.00543362076051012,-0.0035649583011963843
49,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6214596605738902,0.0,0.95,0.45,0.94,16.708243360082193,0.3287310979618671,0.35218896009855977,0.7407038176043627,0.9216,0.025162756532701662,0.006967518096707769,0.018195238435993893,0.0004890236220653943,0.0,0.0054333985140507,-0.0035647774365646953
50,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6219484327345872,0.0,0.95,0.45,0.94,16.96416092648137,0.3287310979618671,0.35212326054822557,0.7406738389004571,0.9216,0.025162112840487933,0.006967668110142112,0.018194444730345823,0.0004887721606970354,0.0,0.005433176464812726,-0.0035645967324322288
51,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6224369536569487,0.0,0.95,0.45,0.94,17.217519317216553,0.3287310979618671,0.35205761926987655,0.7406438867860576,0.9216,0.02516146971919475,0.006967817990522568,0.018193651728672183,0.0004885209223614521,0.0,0.0054329546125205415,-0.003564416188574657
52,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6229252235636957,0.0,0.95,0.45,0.94,17.468344124044386,0.3287310979618671,0.35199203618211156,0.7406139612240208,0.9216,0.025160827168024584,0.006967967738035,0.018192859429989584,0.0004882699067470871,0.0,0.005432732956899031,-0.00356423580476809
53,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6234132426772387,0.0,0.95,0.45,0.94,17.71666068280394,0.3287310979618671,0.35192651120368723,0.7405840621772753,0.9216,0.025160185186181447,0.006968117352864914,0.018192067833316533,0.0004880191135429864,0.0,0.005432511497673612,-0.00356405558078907
54,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6239010112196774,0.0,0.95,0.45,0.94,17.9624940759759,0.3287310979618671,0.3518610442535188,0.7405541896088221,0.9216,0.025159543772870916,0.0069682668351974545,0.018191276937673462,0.0004877685424388003,0.0,0.005432290234570233,-0.003563875516414576
55,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6243885294128022,0.0,0.95,0.45,0.94,18.20586913521614,0.3287310979618671,0.35179563525067803,0.7405243434817339,0.9216,0.025158902927300098,0.006968416185217405,0.018190486742082693,0.0004875181931247848,0.0,0.005432069167315381,-0.0035636956114220198
56,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.624875797478094,0.0,0.95,0.45,0.94,18.446810443863978,0.3287310979618671,0.3517302841143945,0.7404945237591548,0.9216,0.02515826264867764,0.00696856540310919,0.018189697245568452,0.00048726806529179087,0.0,0.0054318482956360655,-0.0035635158655892437
57,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6253628156367252,0.0,0.95,0.45,0.94,18.685342339425336,0.3287310979618671,0.35166499076405405,0.7404647304043008,0.9216,0.025157622936213722,0.006968714489056879,0.018188908447156843,0.0004870181586312757,0.0,0.005431627619259832,-0.003563336278694523
58,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6258495841095606,0.0,0.95,0.45,0.94,18.92148891603108,0.3287310979618671,0.35159975511919883,0.7404349633804588,0.9216,0.02515698378912006,0.006968863443244185,0.01818812034587587,0.0004867684728352886,0.0,0.00543140713791475,-0.003563156850516559
59,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.626336103117157,0.0,0.95,0.45,0.94,19.155274026870767,0.3287310979618671,0.35153457709952696,0.7404052226509873,0.9216,0.025156345206609896,0.00696901226585446,0.018187332940755436,0.0004865190075964819,0.0,0.00543118685132942,-0.003562977580834487
60,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.626822372879765,0.0,0.95,0.45,0.94,19.386721286602057,0.3287310979618671,0.3514694566248918,0.7403755081793152,0.9216,0.025155707187897988,0.006969160957070708,0.01818654623082728,0.0004862697626080961,0.0,0.005430966759232964,-0.0035627984694278658
61,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.627308393617329,0.0,0.95,0.45,0.94,19.615854073736035,0.3287310979618671,0.3514043936153022,0.7403458199289426,0.9216,0.025155069732200625,0.0069693095170755715,0.018185760215125052,0.0004860207375639711,0.0,0.00543074686135503,-0.003562619516076682
62,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6277941655494874,0.0,0.95,0.45,0.94,19.842695532998672,0.3287310979618671,0.35133938799092135,0.7403161578634398,0.9216,0.025154432838735603,0.006969457946051348,0.018184974892684256,0.0004857719321585344,0.0,0.005430527157425787,-0.003562440720561348
63,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6282796888955742,0.0,0.95,0.45,0.94,20.067268577668685,0.3287310979618671,0.3512744396720669,0.7402865219464481,0.9216,0.02515379650672224,0.006969606244179974,0.018184190262542265,0.00048552334608680724,0.0,0.00543030764717593,-0.003562262082662701
64,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6287649638746187,0.0,0.95,0.45,0.94,20.289595891891995,0.3287310979618671,0.35120954857921066,0.7402569121416785,0.9216,0.025153160735381343,0.006969754411643041,0.018183406323738303,0.00048527497904440013,0.0,0.00543008833033667,-0.003562083602162001
65,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6292499907053462,0.0,0.95,0.45,0.94,20.509699932973074,0.3287310979618671,0.35114471463297775,0.7402273284129124,0.9216,0.025152525523935248,0.0069699024486217865,0.018182623075313462,0.00048502683072751017,0.0,0.005429869206639739,-0.0035619052788409314
66,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.629734769606179,0.0,0.95,0.45,0.94,20.727602933643343,0.3287310979618671,0.3510799377541464,0.7401977707240008,0.9216,0.02515189087160778,0.0069700503552971,0.01818184051631068,0.0004847789008329194,0.0,0.005429650275817386,-0.0035617271124815946
67,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.630219300795237,0.0,0.95,0.45,0.94,20.943326904306907,0.3287310979618671,0.351015217863648,0.7401682390388648,0.9216,0.025151256777624253,0.006970198131849521,0.018181058645774732,0.00048453118905799817,0.0,0.005429431537602377,-0.003561549102866515
68,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6307035844903377,0.0,0.95,0.45,0.94,21.156893635263838,0.3287310979618671,0.35095055488256593,0.7401387333214946,0.9216,0.025150623241211485,0.006970345778459242,0.018180277462752244,0.0004842836951006969,0.0,0.005429212991727992,-0.0035613712497786373
69,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6311876209089973,0.0,0.95,0.45,0.94,21.3683246989112,0.3287310979618671,0.35088594873213597,0.7401092535359501,0.9216,0.025149990261597782,0.006970493295306106,0.018179496966291675,0.0004840364186595503,0.0,0.005428994637928027,-0.003561193553001322
70,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6316714102684309,0.0,0.95,0.45,0.94,21.577641451922084,0.3287310979618671,0.3508213993337454,0.7400797996463605,0.9216,0.025149357838012937,0.006970640682569612,0.018178717155443325,0.00048378935943367205,0.0,0.005428776475936788,-0.0035610160123183483
71,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6321549527855537,0.0,0.95,0.45,0.94,21.78486503740286,0.3287310979618671,0.350756906608933,0.7400503716169238,0.9216,0.025148725969688226,0.006970787940428914,0.01817793802925931,0.0004835425171227573,0.0,0.005428558505489096,-0.0035608386275139104
72,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6326382486769808,0.0,0.95,0.45,0.94,21.990016387028827,0.3287310979618671,0.3506924704793882,0.7400209694119069,0.9216,0.0251480946558564,0.006970935069062818,0.01817715958679358,0.00048329589142707583,0.0,0.0054283407263202785,-0.0035606613983726197
73,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6331212981590284,0.0,0.95,0.45,0.94,22.193116223158537,0.3287310979618671,0.35062809086695096,0.7399915929956454,0.9216,0.025147463895751676,0.006971082068649791,0.018176381827101885,0.00048304948204747403,0.0,0.005428123138166172,-0.0035604843246795
74,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6336041014477138,0.0,0.95,0.45,0.94,22.39418506092695,0.3287310979618671,0.35056376769361175,0.7399622423325436,0.9216,0.025146833688609767,0.006971228939367952,0.018175604749241816,0.0004828032886853761,0.0,0.005427905740763124,-0.003560307406219988
75,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6340866587587566,0.0,0.95,0.45,0.94,22.59324321031768,0.3287310979618671,0.35049950088151066,0.739932917387074,0.9216,0.025146204033667838,0.006971375681395082,0.018174828352272757,0.000482557311042777,0.0,0.005427688533847985,-0.0035601306427799338
76,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6345689703075788,0.0,0.95,0.45,0.94,22.7903107782145,0.3287310979618671,0.3504352903529371,0.7399036181237771,0.9216,0.025145574930164505,0.006971522294908619,0.018174052635255886,0.00048231154882224337,0.0,0.005427471517158111,-0.0035599540341455962
77,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6350510363093056,0.0,0.95,0.45,0.94,22.985407670432355,0.3287310979618671,0.35037113603032993,0.739874344507262,0.9216,0.025144946377339876,0.006971668780085662,0.018173277597254213,0.00048206600172691377,0.0,0.005427254690431363,-0.003559777580103647
78,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6355328569787662,0.0,0.95,0.45,0.94,23.17855359372803,0.3287310979618671,0.3503070378362763,0.739845096502205,0.9216,0.025144318374435495,0.006971815137102967,0.018172503237332528,0.000481820669460496,0.0,0.005427038053406105,-0.0035596012804411646
79,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6360144325304935,0.0,0.95,0.45,0.94,23.369768057790747,0.3287310979618671,0.35024299569351186,0.7398158740733506,0.9216,0.025143690920694364,0.006971961366136954,0.01817172955455741,0.00048157555172726574,0.0,0.005426821605821202,-0.0035594251349456373
80,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6364957631787256,0.0,0.95,0.45,0.94,23.559070377212837,0.3287310979618671,0.3501790095249202,0.7397866771855104,0.9216,0.025143064015360924,0.006972107467363707,0.01817095654799722,0.00048133064823206143,0.0,0.005426605347416015,-0.003559249143404959
81,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.636976849137406,0.0,0.95,0.45,0.94,23.746479673440707,0.3287310979618671,0.3501150792535328,0.7397575058035637,0.9216,0.02514243765768109,0.0069722534409589676,0.018170184216722122,0.000481085958680293,0.0,0.005426389277930412,-0.00355907330560743
82,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6374576906201839,0.0,0.95,0.45,0.94,23.932014876706297,0.3287310979618671,0.35005120480252794,0.7397283598924568,0.9216,0.025141811846902184,0.006972399287098146,0.01816941255980404,0.0004808414827779278,0.0,0.00542617339710475,-0.0035588976213417546
83,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6379382878404154,0.0,0.95,0.45,0.94,24.115694727939232,0.3287310979618671,0.3499873860952311,0.7396992394172031,0.9216,0.025141186582273,0.006972545005956316,0.018168641576316685,0.00048059722023149995,0.0,0.00542595770467989,-0.003558722090397044
84,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6384186410111634,0.0,0.95,0.45,0.94,24.297537780659837,0.3287310979618671,0.3499236230551142,0.7396701443428828,0.9216,0.025140561863043746,0.006972690597708215,0.018167871265335533,0.0004803531707481013,0.0,0.005425742200397183,-0.0035585467125628105
85,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6388987503451988,0.0,0.95,0.45,0.94,24.477562402853238,0.3287310979618671,0.3498599156057954,0.7396410746346429,0.9216,0.025139937688466073,0.006972836062528247,0.018167101625937827,0.00048010933403538555,0.0,0.005425526883998478,-0.0035583714876289674
86,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6393786160550003,0.0,0.95,0.45,0.94,24.6557867788247,0.3287310979618671,0.3497962636710385,0.739612030257697,0.9216,0.025139314057793058,0.006972981400590485,0.018166332657202574,0.0004798657098015626,0.0,0.005425311755226112,-0.0035581964153858308
87,Kingdom-aligned transparent recording,1.0,0.04,0.96,1.6398582383527558,0.0,0.95,0.45,0.94,24.832228911036452,0.3287310979618671,0.3497326671747527,0.7395830111773245,0.9216,0.025138690970279196,0.006973126612068669,0.018165564358210526,0.0004796222977553987,0.0,0.005425096813822917,-0.0035580214956241157
